Date,Open,High,Low,Close,Change(Pips),Change(%)
12/31/2018 00:00,110.231,110.476,109.56,109.602,-62.9,-0.57
12/28/2018 00:00,110.966,111.009,110.144,110.297,-66.9,-0.61
12/27/2018 00:00,111.337,111.337,110.452,110.983,-35.4,-0.32
12/26/2018 00:00,110.283,111.408,110.138,111.361,107.8,0.97
12/24/2018 00:00,110.942,111.192,110.269,110.43,-51.2,-0.46
12/21/2018 00:00,111.278,111.459,110.933,111.208,-7,-0.06
12/20/2018 00:00,112.472,112.601,110.81,111.283,-118.9,-1.07
12/19/2018 00:00,112.492,112.664,112.088,112.48,-1.2,-0.01
12/18/2018 00:00,112.823,112.851,112.247,112.52,-30.3,-0.27
12/17/2018 00:00,113.339,113.522,112.683,112.829,-51,-0.45
12/14/2018 00:00,113.592,113.672,113.202,113.4,-19.2,-0.17
12/13/2018 00:00,113.268,113.707,113.166,113.604,33.6,0.3
12-12-2018 00:00,113.355,113.517,113.138,113.267,-8.8,-0.08
12-11-2018 00:00,113.317,113.466,113.007,113.386,6.9,0.06
12-10-2018 00:00,112.599,113.367,112.241,113.316,71.7,0.63
12-07-2018 00:00,112.645,112.925,112.551,112.687,4.2,0.04
12-06-2018 00:00,113.185,113.193,112.231,112.672,-51.3,-0.46
12-05-2018 00:00,112.751,113.243,112.651,113.188,43.7,0.39
12-04-2018 00:00,113.635,113.651,112.573,112.781,-85.4,-0.76
12-03-2018 00:00,113.635,113.819,113.372,113.634,-0.1,0
11/30/2018 00:00,113.476,113.716,113.308,113.54,6.4,0.06
11/29/2018 00:00,113.674,113.68,113.187,113.471,-20.3,-0.18
11/28/2018 00:00,113.765,114.033,113.439,113.683,-8.2,-0.07
11/27/2018 00:00,113.548,113.842,113.413,113.77,22.2,0.2
11/26/2018 00:00,112.9,113.648,112.874,113.598,69.8,0.61
11/23/2018 00:00,112.926,113.007,112.658,112.915,-1.1,-0.01
11/22/2018 00:00,113.048,113.182,112.883,112.932,-11.6,-0.1
11/21/2018 00:00,112.758,113.146,112.642,113.045,28.7,0.25
11/20/2018 00:00,112.547,112.843,112.304,112.744,19.7,0.17
11/19/2018 00:00,112.75,112.877,112.421,112.556,-19.4,-0.17
11/16/2018 00:00,113.614,113.634,112.64,112.859,-75.5,-0.67
11/15/2018 00:00,113.608,113.709,113.1,113.624,1.6,0.01
11/14/2018 00:00,113.805,114.009,113.297,113.624,-18.1,-0.16
11/13/2018 00:00,113.828,114.146,113.58,113.804,-2.4,-0.02
11-12-2018 00:00,113.769,114.207,113.66,113.833,6.4,0.06
11-09-2018 00:00,114.063,114.075,113.64,113.823,-24,-0.21
11-08-2018 00:00,113.489,114.088,113.474,114.05,56.1,0.49
11-07-2018 00:00,113.425,113.818,112.946,113.557,13.2,0.12
11-06-2018 00:00,113.189,113.508,113.103,113.454,26.5,0.23
11-05-2018 00:00,113.154,113.338,113.074,113.194,4,0.04
11-02-2018 00:00,112.695,113.324,112.559,113.209,51.4,0.45
11-01-2018 00:00,112.93,113.001,112.603,112.691,-23.9,-0.21
10/31/2018 00:00,113.113,113.387,112.807,112.985,-12.8,-0.11
10/30/2018 00:00,112.357,113.089,112.306,113.084,72.7,0.64
10/29/2018 00:00,111.858,112.564,111.775,112.375,51.7,0.46
10/26/2018 00:00,112.41,112.444,111.377,111.892,-51.8,-0.46
10/25/2018 00:00,112.249,112.675,111.82,112.394,14.5,0.13
10/24/2018 00:00,112.44,112.743,112.088,112.25,-19,-0.17
10/23/2018 00:00,112.818,112.839,111.952,112.442,-37.6,-0.33
10/22/2018 00:00,112.572,112.888,112.351,112.821,24.9,0.22
10/19/2018 00:00,112.193,112.646,112.14,112.541,34.8,0.31
10/18/2018 00:00,112.64,112.727,111.946,112.188,-45.2,-0.4
10/17/2018 00:00,112.249,112.674,112.014,112.659,41,0.36
10/16/2018 00:00,111.767,112.34,111.734,112.249,48.2,0.43
10/15/2018 00:00,112.137,112.235,111.625,111.773,-36.4,-0.33
10-12-2018 00:00,112.154,112.496,111.879,112.213,5.9,0.05
10-11-2018 00:00,112.27,112.536,111.829,112.166,-10.4,-0.09
10-10-2018 00:00,112.955,113.289,112.257,112.257,-69.8,-0.62
10-09-2018 00:00,113.229,113.392,112.869,112.953,-27.6,-0.24
10-08-2018 00:00,113.763,113.943,112.823,113.234,-52.9,-0.47
10-05-2018 00:00,113.876,114.1,113.557,113.698,-17.8,-0.16
10-04-2018 00:00,114.535,114.552,113.635,113.945,-59,-0.52
10-03-2018 00:00,113.636,114.541,113.524,114.539,90.3,0.79
10-02-2018 00:00,113.907,114.016,113.528,113.68,-22.7,-0.2
10-01-2018 00:00,113.71,114.062,113.7,113.978,26.8,0.24
09/28/2018 00:00,113.356,113.711,113.306,113.69,33.4,0.29
09/27/2018 00:00,112.712,113.469,112.561,113.405,69.3,0.61
09/26/2018 00:00,112.972,113.135,112.631,112.742,-23,-0.2
09/25/2018 00:00,112.768,112.982,112.743,112.977,20.9,0.18
09/24/2018 00:00,112.397,112.836,112.397,112.809,41.2,0.37
09/21/2018 00:00,112.478,112.872,112.424,112.557,7.9,0.07
09/20/2018 00:00,112.26,112.585,112.043,112.496,23.6,0.21
09/19/2018 00:00,112.356,112.448,112.163,112.307,-4.9,-0.04
09/18/2018 00:00,111.839,112.39,111.665,112.363,52.4,0.47
09/17/2018 00:00,112.007,112.119,111.758,111.855,-15.2,-0.14
09/14/2018 00:00,111.917,112.166,111.751,112.04,12.3,0.11
09/13/2018 00:00,111.248,111.999,111.159,111.923,67.5,0.6
09-12-2018 00:00,111.618,111.648,111.111,111.252,-36.6,-0.33
09-11-2018 00:00,111.106,111.642,111.063,111.593,48.7,0.44
09-10-2018 00:00,111.025,111.247,110.849,111.121,9.6,0.09
09-07-2018 00:00,110.744,111.247,110.379,111.034,29,0.26
09-06-2018 00:00,111.525,111.533,110.522,110.729,-79.6,-0.72
09-05-2018 00:00,111.349,111.759,111.313,111.531,18.2,0.16
09-04-2018 00:00,111.017,111.532,110.9,111.478,46.1,0.41
09-03-2018 00:00,111.053,111.189,110.851,111.109,5.6,0.05
08/31/2018 00:00,110.966,111.136,110.687,111.106,14,0.13
08/30/2018 00:00,111.675,111.754,110.952,111.022,-65.3,-0.59
08/29/2018 00:00,111.19,111.828,111.123,111.68,49,0.44
08/28/2018 00:00,111.067,111.353,110.953,111.193,12.6,0.11
08/27/2018 00:00,111.31,111.345,110.933,111.073,-23.7,-0.21
08/24/2018 00:00,111.263,111.485,111.1,111.252,-1.1,-0.01
08/23/2018 00:00,110.545,111.318,110.52,111.295,75,0.67
08/22/2018 00:00,110.268,110.614,110.025,110.55,28.2,0.26
08/21/2018 00:00,110.064,110.546,109.772,110.267,20.3,0.18
08/20/2018 00:00,110.581,110.681,110.015,110.07,-51.1,-0.46
08/17/2018 00:00,110.884,111.05,110.313,110.516,-36.8,-0.33
